Product_name,Count_Colour,Price,Gender
Nike UniversaWomen's Medium-Support High-Waisted 7/8 Leggings with Pockets,9 Colours,£89.95,Women's Medium-Support High-Waisted 7/8 Leggings with Pockets
Liverpool F.C. Academy Pro ThirdWomen's Nike Dri-FIT Football Pre-Match Top,1 Colour,£59.95,Women's Nike Dri-FIT Football Pre-Match Top
Liverpool F.C. ThirdWomen's Nike Dri-FIT Football Jacket,1 Colour,£79.95,Women's Nike Dri-FIT Football Jacket
Liverpool F.C. Sport Essentials WindrunnerMen's Nike Hooded Football Jacket,1 Colour,£99.95,Men's Nike Hooded Football Jacket
Liverpool F.C. Academy Pro ThirdMen's Nike Dri-FIT Football Pre-Match Top,1 Colour,£59.95,Men's Nike Dri-FIT Football Pre-Match Top
NikeCourt Dri-FIT SlamWomen's Tennis Dress,1 Colour,£119.95,Women's Tennis Dress
NikeCourt Dri-FIT SlamMen's Tennis Shorts,3 Colours,£64.95,Men's Tennis Shorts
Boston Celtics PracticeMen's Nike Dri-FIT NBA Long-Sleeve T-Shirt,1 Colour,£37.95,Men's Nike Dri-FIT NBA Long-Sleeve T-Shirt
Chelsea F.C. 2023/24 Stadium HomeMen's Nike Dri-FIT Football Shorts,1 Colour,£39.95,Men's Nike Dri-FIT Football Shorts
Golden State Warriors PracticeMen's Nike Dri-FIT NBA Long-Sleeve T-Shirt,1 Colour,£37.95,Men's Nike Dri-FIT NBA Long-Sleeve T-Shirt
NikeCourt Dri-FIT SlamWomen's Tennis Tank Top,1 Colour,£69.95,Women's Tennis Tank Top
NikeCourt Dri-FIT SlamWomen's Printed Tennis Skirt,1 Colour,£87.95,Women's Printed Tennis Skirt
Brooklyn Nets PracticeMen's Nike Dri-FIT NBA Long-Sleeve T-Shirt,1 Colour,£37.95,Men's Nike Dri-FIT NBA Long-Sleeve T-Shirt
Chicago Bulls PracticeMen's Nike Dri-FIT NBA Long-Sleeve T-Shirt,1 Colour,£37.95,Men's Nike Dri-FIT NBA Long-Sleeve T-Shirt
NikeCourt Dri-FIT SlamWomen's Printed Tennis Tank Top,1 Colour,£69.95,Women's Printed Tennis Tank Top
NikeCourt Dri-FIT ADV SlamMen's Tennis Polo,1 Colour,£87.95,Men's Tennis Polo
Los Angeles Lakers PracticeMen's Nike Dri-FIT NBA Long-Sleeve T-Shirt,1 Colour,£37.95,Men's Nike Dri-FIT NBA Long-Sleeve T-Shirt
Jordan SportMen's Golf Half-Zip Top,1 Colour,£89.95,Men's Golf Half-Zip Top
Chicago Bulls Starting 5Men's Nike Dri-FIT NBA Tracksuit,1 Colour,£119.95,Men's Nike Dri-FIT NBA Tracksuit
Chicago Bulls Starting 5Men's Nike Dri-FIT NBA Tracksuit,1 Colour,£119.95,Men's Nike Dri-FIT NBA Tracksuit
New York Knicks Starting 5Men's Nike Dri-FIT NBA Tracksuit,1 Colour,£119.95,Men's Nike Dri-FIT NBA Tracksuit
Los Angeles Lakers Starting 5Men's Nike Dri-FIT NBA Tracksuit,1 Colour,£119.95,Men's Nike Dri-FIT NBA Tracksuit
Team 31 Standard IssueMen's Nike Dri-FIT NBA Crew-Neck Sweatshirt,1 Colour,£72.95,Men's Nike Dri-FIT NBA Crew-Neck Sweatshirt
Los Angeles Lakers Starting 5Men's Nike Dri-FIT NBA Tracksuit,1 Colour,£119.95,Men's Nike Dri-FIT NBA Tracksuit
Golden State Warriors Starting 5Men's Nike Dri-FIT NBA Tracksuit,1 Colour,£119.95,Men's Nike Dri-FIT NBA Tracksuit
